id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
bitcoin,btc,Bitcoin,SHA-256,1,1,0.326,6.4338,-20.30153,-2.24867,-31.07603,736346141724,21000000.0,18964581.0,4717205,3925936
ethereum,eth,Ethereum,Ethash,2,2,0.794,6.23225,-31.76969,-0.01368,41.19442,325510191475,,119674239.4365,2243370,1232419
tether,usdt,Tether,,3,139,0.073,0.30307,0.09313,0.87176,-0.27504,79144909896,79045602762.7809,79045602762.7809,209524,0
binancecoin,bnb,BNB,,4,5,20.37,-1.38844,-29.20598,13.00223,47.06639,63556601942,168137035.9,168137035.9,7733622,803752
usd-coin,usdc,USD Coin,,5,57,0.084,-0.29229,-0.22299,0.00459,-0.8718,52622519748,52621278424.4294,52621006984.0462,0,0
ripple,xrp,XRP,,6,4,0.104,22.65895,-18.34091,6.96725,51.13584,37429400980,100000000000.0,47949281138.0,2435803,346854
cardano,ada,Cardano,,7,8,0.197,-15.4692,-28.81118,-31.18034,-15.74249,30343076358,45000000000.0,32066390668.4135,827506,692548
solana,sol,Solana,,8,3,0.752,-20.02822,-49.94299,148.95586,789.90712,28547884599,508180963.57,319793186.40841,1485233,130819
terra-luna,luna,Terra,,9,136,0.522,-17.10653,-37.59412,266.84346,791.85402,20697501650,802077946.057316,388404098.477344,336619,30894
avalanche-2,AVAX,Avalanche,,10,9,0.506,17.65943,-33.47491,468.04044,113.36266,19011180276,377752194.4695483,245370481.326272,596064,35235
polkadot,dot,Polkadot,,11,7,0.135,-12.92519,-37.54026,-11.13818,-56.71162,18537340085,1167528416.59893,1086582878.71743,1178362,39068
dogecoin,doge,Dogecoin,Scrypt,12,6,0.067,-3.20174,-20.92607,-31.78646,149.48441,18237511461,,132670764299.894,3079681,2271032
binance-usd,busd,Binance USD,,13,222,0.054,0.14265,-0.11338,0.15202,-0.90966,18080430603,18110422307.31,18110422307.31,29330,0
shiba-inu,shib,Shiba Inu,,14,106,0.136,19.43098,-24.71238,324.77505,375708.58025,14534747117,1000000000000000.0,549147127604214.0,2852897,467021
terrausd,ust,TerraUSD,SHA-256,15,306,0.522,0.33947,-0.04934,0.13662,-0.39907,12163644700,12123990371.1339,12126068429.6857,336338,0
matic-network,matic,Polygon,,16,58,0.751,-9.45546,-38.62798,46.26967,955.41783,10576881175,10000000000.0,6872890164.27,1287131,0
crypto-com-chain,cro,Cronos,Ethash,17,16,2.117,13.57434,-23.38599,227.12654,193.9148,10411978138,30263013692.0,25263013692.0,1812269,157660
wrapped-bitcoin,wbtc,Wrapped Bitcoin,,18,414,0.007,6.75321,-20.60221,-2.40839,-30.79811,10209254161,263062.3168523,263062.3168523,0,0
dai,dai,Dai,,19,167,0.09,-0.11681,-0.03087,0.61795,-0.10539,9734925772,9729673953.89175,9729673953.89175,198191,32936
litecoin,ltc,Litecoin,Scrypt,20,12,0.013,-2.13978,-28.63544,-22.20221,-51.39926,7740946071,84000000.0,69689820.7334713,209402,357000
cosmos,atom,Cosmos,,21,24,0.104,-24.04929,-4.64712,103.85823,19.63206,7526819106,,288744986.037563,375669,61179
chainlink,link,Chainlink,,22,10,0.181,-15.86137,-26.50295,-39.18438,-57.00903,6872012262,1000000000.0,467009549.5205637,766644,76407
tron,trx,TRON,Delegated Proof-of-Stake,23,14,0.111,3.0832,-20.94121,-7.07558,7.68881,6383694062,101900409184.273,101767411872.239,782,122814
near,near,Near,,24,40,0.0,-29.11289,-14.04215,278.64332,130.0688,5946170525,1000000000.0,638292253.552848,318057,0
ftx-token,ftt,FTX Token,,25,386,1.93,9.24658,1.01993,10.94664,31.83709,5765731966,333795358.185972,137926022.11874422,587084,0
bitcoin-cash,bch,Bitcoin Cash,SHA-256,26,134,0.009,-3.74975,-31.0702,-44.67883,-55.64145,5761263714,21000000.0,18989493.6466522,0,815908
algorand,algo,Algorand,,27,15,0.035,-16.55941,-37.13257,3.97176,-34.81561,5677320940,7055917834.21477,6616712321.5317,243160,64866
leo-token,leo,LEO Token,,28,395,3.333,64.91805,61.5495,93.29796,228.31303,5453753810,985239504.0,937105472.9,860249,9728
staked-ether,steth,Lido Staked Ether,,29,358,0.054,6.26045,-31.52285,-0.21467,43.55956,5179472055,1905463.6907694,1905463.6907694,61237,1793
okb,okb,OKB,,30,522,0.395,-9.96494,-40.53479,2.47103,39.17576,5031976646,300000000.0,262680011.32,0,0
stellar,xlm,Stellar,,31,11,0.068,-4.19764,-27.67845,-30.70399,-60.52834,4847888557,50001802171.4346,24927502449.2074,741751,211528
fantom,ftm,Fantom,,32,28,0.166,-24.29426,7.87569,603.5216,639.6536,4376724959,3175000000.0,2541152731.01,380262,33389
uniswap,uni,Uniswap,,33,171,0.679,-25.71203,-41.88827,-59.97642,-67.44675,4295776090,1000000000.0,456489583.4010546,846677,61081
hedera-hashgraph,hbar,Hedera,Directed Acyclic Graph (DAG),34,207,0.076,-7.5283,-32.38635,-0.19846,52.44955,4211827659,50000000000.0,19396953388.0,214450,22652
decentraland,mana,Decentraland,,35,29,0.941,24.19058,-16.10827,280.78585,811.45568,4152730061,2193832527.32015,1500554080.5909274,541687,84349
internet-computer,icp,Internet Computer,,36,36,0.053,-21.64882,-19.45236,-52.14012,0.0,3894004285,469213710.0,207035286.585037,519266,26498
axie-infinity,axs,Axie Infinity,,37,316,4.783,-7.4229,-47.12973,22.54863,2907.65816,3821827284,270000000.0,71049255.8383004,920003,0
ethereum-classic,etc,Ethereum Classic,Ethash,38,164,0.011,4.31891,-24.40408,-47.58859,78.63575,3606513998,210700000.0,133118130.289716,629297,63381
the-sandbox,sand,The Sandbox,,39,285,0.865,-4.42468,-37.71325,392.73298,985.21787,3492906291,3000000000.0,1088944772.2233226,843387,0
elrond-erd-2,egld,Elrond,,40,19,0.2,16.33596,-35.31875,55.98488,14.02533,3492512436,23241625.0,21911625.0,468266,15054
klay-token,klay,Klaytn,,41,38,0.004,1.06381,-1.88414,17.74255,-5.51228,3378571644,,2634550130.8,94815,1247
filecoin,fil,Filecoin,,42,338,0.076,-8.51555,-44.02079,-64.63121,-54.08711,3322927198,1970816853.0,166430182.0,139576,0
vechain,vet,VeChain,,43,25,0.046,-13.8072,-43.02712,-43.79404,-7.98443,3309691942,86712634466.0,66760741299.0,560309,221825
theta-token,theta,Theta Network,,44,50,0.088,-13.0331,-33.48075,-51.40233,-20.11772,2944568694,1000000000.0,1000000000.0,249705,27896
cdai,cdai,cDAI,,45,252,0.081,-0.00048,0.06833,1.86435,2.67951,2936214041,133979636636.501,133979636636.501,219215,8896
ecomi,omi,ECOMI,,46,677,0.024,-23.75406,-20.207,68.38733,101.92859,2899801303,750000000000.0,581910045187.41,171430,0
monero,xmr,Monero,RandomX,47,13,0.062,-7.26567,-16.24684,-34.93472,-38.13233,2880640167,,18082280.4076007,469261,253302
tezos,xtz,Tezos,Proof of Stake,48,22,0.061,-2.11919,-28.00865,2.60814,-30.34738,2862783667,,877579464.205623,347403,68837
compound-ether,ceth,cETH,,49,80,0.081,6.16396,-31.93614,-0.07799,41.76477,2808286165,51479482.7188794,51479482.7188794,219761,8896
magic-internet-money,mim,Magic Internet Money,,50,453,0.0,-0.63543,-0.65259,1.99275,0.0,2776895776,2785296692.97944,2785296692.97944,121539,0
frax,frax,Frax,,51,550,0.041,-0.26542,-0.56027,-0.33112,-0.71961,2654831221,2653242158.00651,2653242158.00651,35153,0
osmosis,osmo,Osmosis,,52,71,0.362,-0.44907,64.0253,390.51789,0.0,2598888965,325000000.0,302190397.0,81666,0
compound-usd-coin,cusdc,cUSDC,,53,510,0.081,0.06378,0.05409,1.97296,3.18311,2575075070,114203608943.712,114203608943.712,219885,0
the-graph,grt,The Graph,,54,21,0.095,-8.82879,-43.15452,-40.8617,-82.96127,2435806877,10000000000.0,6157231561.0,211034,21582
helium,hnt,Helium,,55,209,1.148,-3.79396,-42.67243,74.45978,456.61083,2326571884,223000000.0,100539361.984279,152480,88990
eos,eos,EOS,Delegated Proof-of-Stake,56,18,0.032,-5.06846,-33.19542,-45.42475,-54.05588,2213475806,,985080109.4271,263544,97203
iota,miota,IOTA,Directed Acyclic Graph (DAG),57,226,0.091,-10.19364,-39.62717,-11.69553,-44.51631,2137477758,2779530283.0,2779530283.277761,258899,145810
bittorrent-old,bttold,BitTorrent [OLD],Delegated Proof-of-Stake,58,512,0.316,-22.35785,-30.37277,-40.13457,25.52303,2106847046,990000000000.0,0.0,620501,36863
pancakeswap-token,cake,PancakeSwap,,59,406,2.326,-18.327,-38.64871,-58.47167,-49.84398,1966521446,,269696969.175457,1483832,0
aave,aave,Aave,,60,77,0.155,-17.51747,-32.13995,-58.50279,-68.40113,1913303307,16000000.0,13620075.220163459,430741,15381
gala,gala,Gala,,61,290,0.78,16.92684,-42.47718,1146.95485,1330.19375,1906759087,36919574622.785,7542496572.319239,321916,0
flow,flow,Flow,,62,413,0.016,-0.4022,-32.91125,-74.12365,-69.28188,1903935036,1405603089.7218,329356498.0,148229,0
theta-fuel,tfuel,Theta Fuel,,63,245,0.088,15.69761,-13.22008,-41.73731,97.69235,1886178774,5301200000.0,0.0,249607,27898
bittorrent,btt,BitTorrent,,64,47,0.316,-7.67322,0.0,0.0,0.0,1872389068,990000000000000.0,932497500000000.0,620459,36862
harmony,one,Harmony,,65,23,0.396,-30.46134,-38.99344,92.2762,401.96846,1757359583,13156044839.793139,11714421439.1007,357720,52142
bitcoin-cash-sv,bsv,Bitcoin SV,SHA-256,66,267,0.008,-10.95326,-31.42287,-39.03771,-62.99004,1613259045,21000000.0,18985501.644239,0,0
maker,mkr,Maker,,67,39,0.09,-1.25061,-27.88601,-40.32315,-32.51578,1593747566,977631.036950888,901310.9472893132,198361,32934
neo,neo,NEO,,68,20,0.048,14.84119,-17.74661,-48.3459,-49.0485,1587706871,100000000.0,70530000.0,435353,116222
quant-network,qnt,Quant,Ethash,69,192,0.031,3.98,-35.693,-33.08275,189.70903,1580342884,14612493.0,13413953.469289193,79969,12333
huobi-btc,hbtc,Huobi BTC,,70,646,0.0,6.63234,-20.00934,-1.63986,-30.46106,1556061120,39884.082204742,39884.082204742,975309,0
huobi-token,ht,Huobi Token,,71,287,0.004,5.72631,-3.11632,-8.70913,-54.043,1509035449,500000000.0,156124154.25441208,977176,1740
kucoin-shares,kcs,KuCoin Token,,72,234,1.202,14.53889,-10.46697,84.79402,338.45863,1470626154,166429661.0,76429661.0,1523767,112147
true-usd,tusd,TrueUSD,,73,111,0.005,0.27064,0.0598,0.0959,-0.55012,1434412667,1432692587.81276,1432692587.81276,25901,0
ecash,xec,eCash,,74,320,0.033,-8.0003,-32.99214,50.52454,0.0,1433132413,21000000000000.0,18985460923313.0,84145,5379
enjincoin,enj,Enjin Coin,,75,59,0.146,-11.47783,-40.96775,9.10052,174.32386,1430342123,1000000000.0,934340659.567558,507529,45121
celsius-degree-token,cel,Celsius Network,,76,349,0.325,22.35213,-18.3657,-45.97968,-42.70243,1363142063,694345347.6871,423415980.3475,214697,37928
zcash,zec,Zcash,Equihash,77,17,0.017,6.51529,-33.61652,-7.57022,-33.71614,1333648743,21000000.0,12147178.2912968,85186,21854
amp-token,amp,Amp,,78,296,0.024,-8.36504,-45.39845,-55.38374,-3.5475,1317929460,99443468745.2635,48013928909.1577,44576,44191
arweave,ar,Arweave,,79,543,0.033,-16.86044,-50.53565,131.69879,258.49164,1314724380,64598643.0,50108502.0,58214,0
humans-ai,heart,Humans.ai,,80,1080,0.016,-6.72521,-7.1795,0.0,0.0,1309127902,7800000000.0,0.0,45443,0
blockstack,stx,Stacks,,81,115,0.054,-27.18604,-44.71862,-9.08626,60.14002,1309095508,1352464600.0,1052561461.68777,122151,0
juno-network,juno,JUNO,,82,387,0.018,75.31123,211.40271,0.0,0.0,1288513146,73468674.946542,43899916.057723,42225,1999
bitdao,bit,BitDAO,,83,336,0.034,-17.81925,-21.54993,0.0,0.0,1262229129,10000000000.0,860090926.860899,34877,260
radix,xrd,Radix,,84,578,0.021,-19.51508,-52.58078,0.0,0.0,1246882208,12177738657.3058,9777761698.6066,134182,7615
kusama,ksm,Kusama,,85,498,0.019,-35.50749,-49.64887,-35.93579,-38.7964,1239501509,10000000.0,8980098.074112339,230047,0
frax-share,fxs,Frax Share,,86,668,0.041,-3.83901,18.34618,608.13002,118.43395,1229523127,99779309.2182162,57730568.56472808,35153,0
convex-finance,cvx,Convex Finance,,87,213,0.083,-23.92186,-39.19511,625.32573,0.0,1192196806,84584006.1841232,51240974.658385515,38594,0
thorchain,rune,THORChain,,88,116,0.026,-9.86135,-47.06348,-51.42096,-25.54941,1147269537,500000000.0,300750085.9386705,142426,9619
kadena,kda,Kadena,,89,91,0.061,19.95363,-39.05266,1883.59924,1377.92183,1129494457,1000000000.0,171287601.11586,161445,0
nexo,nexo,NEXO,,90,221,0.603,2.08099,-13.20923,8.75945,-21.41231,1084413408,1000000000.0,560000010.0064,180796,29257
basic-attention-token,bat,Basic Attention Token,,91,26,0.09,-12.86406,-41.14935,4.94229,20.7432,1052173234,1500000000.0,1495585511.4473505,255549,87792
celo,celo,Celo,,92,95,0.079,-27.42711,-45.50519,-8.19204,-49.95487,1049700032,1000000000.0,407486151.0,143543,0
paxos-standard,usdp,Pax Dollar,,93,241,0.054,0.31999,-0.20706,0.0648,-0.74508,1031825100,1031226743.03,1031226743.03,0,0
loopring,lrc,Loopring,,94,33,0.034,-4.7515,-62.5715,227.05312,15.98612,1029375674,1373873440.44246,1245991468.94246,184316,97293
dash,dash,Dash,X11,95,31,0.034,-8.91747,-29.01967,-40.25424,-67.85688,1020071925,18920000.0,10588858.8450875,425398,44227
curve-dao-token,crv,Curve DAO Token,,96,102,0.245,-21.1172,-48.31514,60.04262,-11.34617,1015912827,1694179094.30375,391958099.3931446,270525,0
chiliz,chz,Chiliz,,97,448,0.028,-4.93356,-34.84316,-29.27125,263.03186,999777672,8888888888.0,5344064580.0,431410,0
gatechain-token,gt,GateToken,,98,1029,0.006,1.33287,3.03254,76.35762,205.80271,960374707,300000000.0,151758801.7378072,0,0
secret,scrt,Secret,,99,93,0.041,-6.4815,14.0853,361.05425,33.19897,947640435,190198234.0,164017521.0,149141,0
waves,waves,Waves,Proof of Stake,100,27,0.019,-12.37362,-41.94421,-42.43073,-24.46346,936563968,100000000.0,100000000.0,210844,60146
